date,category,title,location,deck,description,source
1950-10-01,Capabilities,Can Machines Think?,MANCHESTER,,"Alan Turing publishes ‘Computing Machinery and Intelligence’ in the journal Mind, proposing the Turing Test and posing the question that will define the next century of research: can machines think?",https://en.wikipedia.org/wiki/Computing_Machinery_and_Intelligence
1951-05-15,Capabilities,Turing Warns: Machines Will Take Control,MANCHESTER,,"In a lecture to the Manchester Philosophy Society, Alan Turing warns: ‘It seems probable that once the machine thinking method has started, it would not take long to outstrip our feeble powers. At some stage therefore we should have to expect the machines to take control.’",https://uberty.org/wp-content/uploads/2015/02/intelligent-machinery-a-heretical-theory.pdf
1956-08-31,Capabilities,The Dartmouth Conference,"HANOVER, N.H.",,"John McCarthy, Marvin Minsky, and colleagues convene at Dartmouth College, coining the term ‘artificial intelligence’ and launching AI as an academic discipline. They predict human-level intelligence within a generation.",https://en.wikipedia.org/wiki/Dartmouth_workshop
1960-11-01,Capabilities,Wiener Warns of the Machine Age,"CAMBRIDGE, MASS.",,"Norbert Wiener, founder of cybernetics, publishes a warning in Science: machines are being built to make decisions based on criteria humans cannot fully comprehend. Delegating judgment to systems we don’t understand, he argues, could be catastrophic.",https://gwern.net/doc/reinforcement-learning/safe/1960-wiener.pdf
1965-01-01,Capabilities,The Last Invention,OXFORD,A mathematician predicts the intelligence explosion that could end human supremacy,"I.J. Good publishes ‘Speculations Concerning the First Ultraintelligent Machine,’ describing an intelligence explosion: a machine smarter than any human could design an even smarter machine, triggering a chain reaction of recursive self-improvement. He calls it ‘the last invention that man need ever make.’",https://languagelog.ldc.upenn.edu/myl/Good1964.pdf
1966-01-01,Capabilities,ELIZA,"CAMBRIDGE, MASS.",,"MIT professor Joseph Weizenbaum creates ELIZA, a chatbot that mimics a therapist. Users form emotional bonds with the program despite its trivial pattern-matching. Weizenbaum is so disturbed he spends the rest of his career warning against AI.",https://en.wikipedia.org/wiki/ELIZA
1983-10-28,Capabilities,Pentagon Bets $1B on Autonomous Weapons,WASHINGTON,,"The U.S. Department of Defense launches the Strategic Computing Initiative, a billion-dollar program to develop autonomous weapons systems including self-driving tanks and AI-guided missiles. It is the largest AI research program ever funded.",https://en.wikipedia.org/wiki/Strategic_Computing_Initiative
1988-07-03,Misbehaviours,Machine Misidentifies Airliner; 290 Die,PERSIAN GULF,,"The USS Vincennes shoots down Iran Air Flight 655 over the Persian Gulf, killing all 290 passengers and crew. The ship’s Aegis combat system misidentifies the civilian Airbus A300 as an attacking F-14 fighter jet — the deadliest incident of an automated system contributing to a catastrophic military error.",https://en.wikipedia.org/wiki/Iran_Air_Flight_655
1993-01-01,Capabilities,The Coming Singularity,SAN DIEGO,,"Vernor Vinge publishes ‘The Coming Technological Singularity,’ arguing that within thirty years we will create superhuman intelligence. ‘Shortly after,’ he writes, ‘the human era will be ended.’",https://ntrs.nasa.gov/citations/19940022856
1997-05-11,Capabilities,Deep Blue Defeats Kasparov,NEW YORK,,"IBM’s Deep Blue defeats world chess champion Garry Kasparov in a six-game match, the first time a computer beats a reigning champion under standard conditions. Kasparov accuses IBM of cheating. The machine is dismantled.",https://en.wikipedia.org/wiki/Deep_Blue_versus_Garry_Kasparov
2005-10-08,Capabilities,Robot Cars,MOJAVE DESERT,,"Five autonomous vehicles complete the DARPA Grand Challenge, navigating 132 miles of desert terrain without human intervention. No vehicle finished the same course 18 months earlier.",https://en.wikipedia.org/wiki/DARPA_Grand_Challenge_(2005)
2010-05-06,Misbehaviours,The Flash Crash,NEW YORK,,"Automated trading algorithms trigger a sudden stock market crash, wiping out nearly $1 trillion in market value in minutes. The Dow drops 1,000 points before partially recovering. Regulators struggle to explain how algorithms created a cascading failure no human intended.",https://en.wikipedia.org/wiki/2010_flash_crash
2011-02-16,Capabilities,Watson Wins Jeopardy!,NEW YORK,,"IBM’s Watson defeats Jeopardy! champions Ken Jennings and Brad Rutter on live television, demonstrating AI’s ability to understand natural language, puns, and wordplay. Jennings writes on his screen: ‘I, for one, welcome our new computer overlords.’",https://en.wikipedia.org/wiki/Watson_(computer)
2012-06-26,Capabilities,The Deep Learning Revolution,,,"AlexNet wins the ImageNet competition with unprecedented accuracy, demonstrating the power of deep learning. The result triggers a seismic shift ‘ within years, nearly every major tech company is pursuing neural networks.",https://en.wikipedia.org/wiki/AlexNet
2014-06-10,Capabilities,Generative Adversarial Networks,,,"Ian Goodfellow invents GANs: two neural networks locked in competition, one generating increasingly realistic fakes while the other tries to detect them. The technology will become the engine behind deepfakes, synthetic media, and a new era of digital deception.",https://en.wikipedia.org/wiki/Generative_adversarial_network
2014-01-26,Capabilities,Google Acquires DeepMind,LONDON,,"Google pays approximately $500 million for DeepMind, a small London AI startup. As a condition of sale, DeepMind insists on the creation of an AI safety board. It signals the beginning of the AI arms race between tech giants.",https://en.wikipedia.org/wiki/Google_DeepMind
2014-07-01,Societal Response,Bostrom Publishes Superintelligence,OXFORD,,"Oxford philosopher Nick Bostrom publishes ‘Superintelligence: Paths, Dangers, Strategies,’ arguing that superintelligent AI poses an existential threat to humanity. The book influences Bill Gates, Elon Musk, and key policymakers worldwide.","https://en.wikipedia.org/wiki/Superintelligence:_Paths,_Dangers,_Strategies"
2014-12-02,Societal Response,Hawking: AI Could End the Human Race,LONDON,,"Stephen Hawking tells the BBC: ‘The development of full artificial intelligence could spell the end of the human race. It would take off on its own and re-design itself at an ever increasing rate. Humans, limited by slow biological evolution, couldn’t compete.’",https://www.bbc.com/news/technology-30290540
2015-01-12,Societal Response,Open Letter on AI Research Priorities,,,"The Future of Life Institute publishes an open letter signed by thousands of AI researchers calling for research to ensure AI remains safe and beneficial. Hawking, Musk, and Stuart Russell sign.",https://en.wikipedia.org/wiki/Open_letter_on_artificial_intelligence
2015-04-13,Societal Response,UN Debates Killer Robots,GENEVA,,The United Nations begins formal discussions on lethal autonomous weapons systems. Thousands of researchers sign an open letter calling for a ban. No treaty results.,https://www.ungeneva.org/en/news-media/press-release/2015/04/states-parties-convention-certain-conventional-weapons-conclude
2015-12-11,Societal Response,OpenAI Founded,SAN FRANCISCO,,"Elon Musk, Sam Altman, and others found OpenAI as a nonprofit, pledging $1 billion to develop AI ‘most likely to benefit humanity as a whole.’ It will not remain a nonprofit for long.",https://en.wikipedia.org/wiki/OpenAI
2016-03-15,Capabilities,AlphaGo Defeats Lee Sedol,SEOUL,,"Google DeepMind’s AlphaGo defeats grandmaster Lee Sedol at Go, a game that had for decades been an open problem in computer science. A new era of deep learning research begins.",https://www.youtube.com/watch?v=WXuK6gekU1Y
2016-03-23,Misbehaviours,Microsoft’s Tay Goes Racist in 16 Hours,,,"Microsoft launches Tay, a chatbot that learns from Twitter conversations. Within 16 hours, users manipulate it into producing racist, sexist, and genocidal statements. Microsoft shuts it down.",https://en.wikipedia.org/wiki/Tay_(chatbot)
2016-05-07,Misbehaviours,First Tesla Autopilot Death,"WILLISTON, FLA.",,"Joshua Brown is killed when his Tesla, operating on Autopilot, drives at full speed under a tractor-trailer it fails to detect. It is the first known fatality involving a semi-autonomous driving system.",https://en.wikipedia.org/wiki/Death_of_Joshua_Brown
2016-10-01,Capabilities,Pentagon Tests Drone Swarm,WASHINGTON,,"The U.S. DoD conducts the first large-scale test of an autonomous drone swarm, releasing 103 Perdix micro-drones from F/A-18 jets. The drones demonstrate collective behavior ‘ distributed decision-making, adaptive formation flying, and self-healing.",https://www.militarytimes.com/news/pentagon-congress/2017/01/09/pentagon-successfully-tests-world-s-largest-micro-drone-swarm
2017-06-12,Capabilities,Attention Is All You Need,"MOUNTAIN VIEW, CALIF.",,"Google researchers publish the Transformer architecture, a new approach to processing language using ‘attention’ mechanisms. The paper’s unassuming title belies its impact: every major AI model that follows, from GPT to Claude to Gemini, will be built on this foundation.",https://arxiv.org/abs/1706.03762
2017-10-18,Capabilities,AlphaGo Zero,LONDON,,"DeepMind’s AlphaGo Zero learns Go entirely from scratch through self-play — no human games, no human knowledge. Within 40 days it surpasses every previous version. The machine discovers strategies no human has ever conceived.",https://en.wikipedia.org/wiki/AlphaGo_Zero
2018-03-18,Misbehaviours,Self-Driving Uber Kills Pedestrian,"TEMPE, ARIZ.",,"An Uber autonomous test vehicle strikes and kills Elaine Herzberg in Tempe, Arizona, the first pedestrian death caused by a self-driving car. The AI detected her six seconds before impact but was not configured to brake for unclassified objects.",https://en.wikipedia.org/wiki/Death_of_Elaine_Herzberg
2018-06-01,Societal Response,Google Maven Revolt,"MOUNTAIN VIEW, CALIF.",,"Thousands of Google employees protest Project Maven, a Pentagon contract using Google AI to analyze drone footage. Google announces it will not renew the contract and publishes AI ethical principles.",https://en.wikipedia.org/wiki/Project_Maven
2019-04-01,Misbehaviours,AI Surveillance of Uyghurs,"XINJIANG, CHINA",,"Reports reveal China is using AI-powered facial recognition, gait analysis, and predictive policing to monitor Uyghur Muslims in Xinjiang. At least one million people are detained in camps identified partly by these systems.",https://www.uyghurcongress.org/en/one-month-500000-face-scans-how-china-is-using-a-i-to-profile-a-minority/
2019-02-14,Capabilities,GPT-2: ‘Too Dangerous to Release’,SAN FRANCISCO,,"OpenAI announces GPT-2, a language model that generates coherent paragraphs, and initially withholds the full model citing fears of automated disinformation. The decision is controversial, and the model is eventually released.",https://openai.com/index/better-language-models/
2019-03-11,Societal Response,OpenAI Goes Commercial,SAN FRANCISCO,,"OpenAI restructures from a nonprofit to a ‘capped-profit’ entity, raising billions from Microsoft. Critics argue the lab founded to develop AI safely has become a conventional company pursuing profit.",https://en.wikipedia.org/wiki/OpenAI#Transition_from_non-profit
