event,date,precision,notes
Strategic Computing Initiative launched,1983-10-28,exact,DARPA launched the Strategic Computing Initiative as a major Cold War AI and autonomous-systems funding program
ASML founded,1984-04-01,exact,ASM Lithography began operations as a Philips and ASM International joint venture
TSMC founded,1987-02-21,exact,TSMC was founded in Taiwan and pioneered the pure-play semiconductor foundry model
NVIDIA founded,1993-04-05,exact,NVIDIA was founded by Jensen Huang Chris Malachowsky and Curtis Priem
DeepMind launched,2010-11-15,exact,Public launch date
Google acquired DeepMind,2014-01-26,exact,Deal publicly reported and confirmed that day
OpenAI announced,2015-12-11,exact,Official founding announcement date
OpenAI restructured as capped-profit,2019-03-11,exact,"OpenAI announced OpenAI LP, a capped-profit entity governed by the nonprofit"
Dario Amodei left OpenAI,2020-12-29,exact,OpenAI announced his departure that day
GitHub Copilot launched,2022-06-21,exact,General availability announcement date
US announced AI chip export controls,2022-10-07,exact,US Commerce Department announced major export controls on advanced chips and semiconductor equipment to China
Microsoft commits $10B to OpenAI,2023-01-23,exact,Widely reported as a $10B commitment; official announcements said multiyear multibillion-dollar investment
CAIS extinction-risk statement released,2023-05-30,exact,Center for AI Safety released the one-sentence extinction-risk statement signed by AI scientists and public figures
NVIDIA reached a $1 trillion market cap,2023-05-30,exact,First chipmaker to reach the milestone during the AI boom
OpenAI Superalignment team announced,2023-07-05,exact,Official OpenAI announcement date
xAI launched,2023-07-12,exact,Company publicly announced that day
Sam Altman fired by the OpenAI board,2023-11-17,exact,Start of the board-crisis weekend
Sam Altman reinstated as OpenAI CEO,2023-11-22,exact,Board agreed to bring him back
European Parliament adopted EU AI Act,2024-03-13,exact,European Parliament adoption vote date
OpenAI NDA controversy,2024-05-17 (contract),exact,Vox story made the offboarding/NDA issue widely public
OpenAI Superalignment team disbanded,2024-05-17 (team),exact,Disbanding publicly confirmed that day
Safe Superintelligence launched,2024-06-19,exact,Safe Superintelligence publicly launched that day
EU AI Act entered into force,2024-08-01,exact,Regulation formally entered into force that day
California SB 1047 vetoed,2024-09-29,exact,Governor Newsom vetoed the frontier-model bill that day
Thinking Machines Lab launched,2025-02-18,exact,Public launch date; exact incorporation date not clearly public
Claude Code launched,2025-02-24,exact,First public research-preview release of Claude Code
Codex launched,2025-05-16,exact,OpenAI launched Codex as a cloud coding agent in ChatGPT
EU AI Act GPAI obligations in force,2025-08-02,exact,General-purpose AI model obligations started applying that day
California SB 53 signed into law,2025-09-29,exact,California enacted the Transparency in Frontier Artificial Intelligence Act that day
Statement on Superintelligence released,2025-10-22,exact,Future of Life Institute statement calling for a prohibition on superintelligence development until safety consensus and public buy-in
Anthropic-DoD conflict became public,2026-01-16,exact,Assuming you meant the military-use dispute; publicly surfaced in reporting that day
