model,company,date,params,special,summary,source
GPT-1,OpenAI,2018-06-11,117M,generative pretraining,Showed generative pretraining boosts downstream language task performance,https://openai.com/blog/language-unsupervised/#:~:text=June%2011%2C%202018
GPT-2,OpenAI,2019-02-14,1.5B,,Scaled coherent generation and sparked staged-release safety debate,https://openai.com/index/better-language-models/#:~:text=February%2014%2C%202019
GPT-3,OpenAI,2020-05-28,175B,in-context learning,Few-shot prompting revealed powerful in-context learning at scale,https://openai.com/index/language-models-are-few-shot-learners/#:~:text=May%2028%2C%202020
DALL-E,OpenAI,2021-01-05,12B,text-to-image generation,Early text-to-image generation system showed language models could synthesize images,https://openai.com/research/dall-e#:~:text=January%205%2C%202021
Codex,OpenAI,2021-07-07,12B,code generation,Code-specialized language model demonstrated strong natural-language-to-code performance,https://arxiv.org/abs/2107.03374#:~:text=Submitted%20on%207%20Jul%202021
Chinchilla,DeepMind,2022-04-12,70B,compute-optimal scaling,Showed that smaller models trained on more data could outperform larger ones at the same compute budget,https://deepmind.google/discover/blog/an-empirical-analysis-of-compute-optimal-large-language-model-training/#:~:text=April%2012%2C%202022
PaLM,Google,2022-04-04,540B,,Major Google frontier language model before the Gemini line,https://research.google/blog/pathways-language-model-palm-scaling-to-540-billion-parameters-for-breakthrough-performance/#:~:text=April%204%2C%202022
DALL-E 2,OpenAI,2022-04-06,,photorealistic image generation,Dramatically improved text-to-image generation reached mainstream attention,https://openai.com/index/dall-e-2/#:~:text=April%206%2C%202022
Whisper,OpenAI,2022-09-21,1.55B (open),speech recognition,Open-source speech recognition model achieved broad practical adoption,https://openai.com/index/whisper/#:~:text=September%2021%2C%202022
Stable Diffusion,Stability AI,2022-08-22,,open-weight image model,Open release made high-quality text-to-image generation widely accessible,https://stability.ai/news/stable-diffusion-public-release#:~:text=August%2022%2C%202022
ChatGPT / GPT-3.5,OpenAI,2022-11-30,,chatbot interface,RLHF chat interface made large language models mainstream,https://openai.com/index/chatgpt/#:~:text=November%2030%2C%202022
GPT-4,OpenAI,2023-03-14,,higher reliability,Reliability jump enabled stronger reasoning and professional-use confidence,https://openai.com/research/gpt-4#:~:text=March%2014%2C%202023
