event,date,precision,notes
Turing Test invented,1950-10-01,exact,Publication date for Turing's Computing Machinery and Intelligence in Mind
Backpropagation popularized by Rumelhart Hinton and Williams,1986-10-09,exact,Nature publication date for Learning representations by back-propagating errors
AlexNet won ImageNet,2012-09-30,exact,ILSVRC 2012 winning submission date
GANs introduced,2014-06-10,exact,arXiv publication date for Generative Adversarial Nets
"AlphaGo" beat Lee Sedol,2016-03-12,exact,Third win secured the series victory
"""Attention Is All You Need"" published",2017-06-12,exact,arXiv publication date of the Transformer paper
BERT released,2018-11-02,exact,Official Google AI blog announcement date
The Bitter Lesson published,2019-03-13,exact,Richard Sutton published the essay on his website that day
DeepMind incorporated,2010-09-23,exact,UK incorporation date
DeepMind launched,2010-11-15,exact,Public launch date
Google acquired DeepMind,2014-01-26,exact,Deal publicly reported and confirmed that day
OpenAI announced,2015-12-11,exact,Official founding announcement date
Dario Amodei left OpenAI,2020-12-29,exact,OpenAI announced his departure that day
AlphaFold 2 won CASP14,2020-11-30,exact,CASP14 recognition date from DeepMind's timeline
GitHub Copilot launched,2022-06-21,exact,General availability announcement date
Microsoft expanded its OpenAI partnership,2023-01-23,exact,OpenAI and Microsoft announced a new multiyear multibillion-dollar deal
NVIDIA reached a $1 trillion market cap,2023-05-30,exact,First chipmaker to reach the milestone during the AI boom
OpenAI Superalignment team announced,2023-07-05,exact,Official OpenAI announcement date
OpenAI Superalignment team disbanded,2024-05-17,exact,Disbanding publicly confirmed that day
EU AI Act adopted,2024-03-13,exact,European Parliament adoption vote date
EU AI Act entered into force,2024-08-01,exact,Regulation formally entered into force that day
EU AI Act GPAI obligations in force,2025-08-02,exact,General-purpose AI model obligations started applying that day
OpenAI NDA controversy,2024-05-17,exact,Vox story made the offboarding/NDA issue widely public
Sam Altman fired by the OpenAI board,2023-11-17,exact,Start of the board-crisis weekend
Sam Altman reinstated as OpenAI CEO,2023-11-22,exact,Board agreed to bring him back
xAI launched,2023-07-12,exact,Company publicly announced that day
Claude Code launched,2025-02-24,exact,First public research-preview release of Claude Code
Codex launched,2025-05-16,exact,OpenAI launched Codex as a cloud coding agent in ChatGPT
SSI launched,2024-06-19,exact,Safe Superintelligence publicly launched that day
California SB 1047 vetoed,2024-09-29,exact,Governor Newsom vetoed the frontier-model bill that day
California SB 53 signed into law,2025-09-29,exact,California enacted the Transparency in Frontier Artificial Intelligence Act that day
Thinking Machines Lab launched,2025-02-18,exact,Public launch date; exact incorporation date not clearly public
Anthropic-DoD conflict became public,2026-01-16,exact,Assuming you meant the military-use dispute; publicly surfaced in reporting that day
